,name_x,name_y,value,source,target
722,prhc0003,phpc0084,4,223.0,124.0
723,TL347,SEB53,4,224.0,436.0
724,raob0122,clab0127,6,225.0,244.0
725,BDS10,PHJ20,7,203.0,196.0
726,whgu0172,clme0621,2,1.0,169.0
727,bioc0416,univ1102,5,134.0,270.0
728,IJG25,MJM16,4,226.0,377.0
729,bioc0756,magd1571,3,227.0,283.0
730,stat0004,immd0151,3,49.0,29.0
731,stat0004,clme0237,8,49.0,77.0
732,immd0151,lina0435,2,29.0,166.0
733,lina0435,clme0237,3,166.0,77.0
734,CA26,OAS23,14,185.0,39.0
735,raob0189,bioc0416,5,79.0,134.0
736,immd0031,immd0282,3,100.0,181.0
737,immd0031,immd0316,3,100.0,34.0
738,immd0031,clab0025,5,100.0,210.0
739,immd0282,clab0025,4,181.0,210.0
740,immd0316,clab0025,4,34.0,210.0
741,path0473,whgu0172,1,228.0,1.0
742,path0473,dplb0149,1,228.0,130.0
743,ndos0168,awatts,1,136.0,325.0
744,olin0014,clme0946,5,229.0,120.0
745,ocms0037,DO261,3,230.0,296.0
746,KDH29,PAWE1,10,174.0,235.0
747,ARV22,ABJ26,4,99.0,390.0
748,CG348,CER51,2,231.0,370.0
749,raob0051,ndog0251,6,153.0,393.0
750,clab0018,clme0135,3,232.0,37.0
751,clme0946,olin0014,3,120.0,229.0
752,BDS10,SR679,7,203.0,354.0
753,UFK20,JJB12,4,184.0,345.0
754,path0642,molb0002,5,53.0,52.0
755,claridge,wolf1833,7,97.0,212.0
756,DK10012,LSI10,2,233.0,384.0
757,CC234,ACA20,2,13.0,71.0
758,ACA20,SS861,2,71.0,66.0
759,ACA20,SC10021,2,71.0,168.0
760,SS861,DFE20,2,66.0,72.0
761,DFE20,SC10021,2,72.0,168.0
762,CEM45,DGK23,2,87.0,204.0
763,EJB60,DGK23,6,89.0,204.0
764,JT233,PJL30,2,234.0,265.0
765,wolf1833,cschof,2,212.0,18.0
766,VJG29,AL499,2,118.0,387.0
767,KMB1001,FJL1,18,43.0,664.0
768,CC234,KDH29,2,13.0,174.0
769,CC234,PAWE1,4,13.0,235.0
770,KDH29,SC10021,2,174.0,168.0
771,PAWE1,SC10021,2,235.0,168.0
772,PAWE1,JDB1003,4,235.0,103.0
773,PP10001,CJW53,2,16.0,137.0
774,CJW53,DFE20,2,137.0,72.0
775,stat0004,whgu0378,6,49.0,4.0
776,stat0004,clme0975,2,49.0,31.0
777,NS421,RCF29,9,236.0,105.0
778,clme0621,card0025,2,169.0,23.0
779,EDL1,TK106,4,129.0,386.0
780,newc0612,claridge,1,237.0,97.0
781,newc0612,clme0220,5,237.0,38.0
782,newc0612,bioc0416,1,237.0,134.0
783,claridge,clme0220,1,97.0,38.0
784,clme0220,bioc0416,1,38.0,134.0
785,CA26,FJL1,5,185.0,664.0
786,SJG49,EW442,6,36.0,608.0
787,clme0975,raob0072,8,31.0,26.0
788,cschof,vacc0036,2,18.0,242.0
789,path0084,path0089,3,238.0,113.0
790,CC234,AG229,15,13.0,239.0
791,CC234,TK106,4,13.0,386.0
792,AG229,TK106,2,239.0,386.0
793,univ0247,bioc0188,6,240.0,114.0
794,SJP58,JHG21,8,241.0,158.0
795,vacc0036,bioc0801,3,242.0,243.0
796,vacc0036,immd0282,3,242.0,181.0
797,bioc0801,immd0282,7,243.0,181.0
798,bioc0541,bioc0416,16,135.0,134.0
799,bioc0541,chem0068,4,135.0,162.0
800,bioc0416,chem0068,2,134.0,162.0
801,raob0069,raob0051,2,56.0,153.0
802,raob0069,raob0009,2,56.0,125.0
803,raob0051,raob0095,2,153.0,61.0
804,raob0009,raob0095,2,125.0,61.0
805,donc0120,raob0096,2,213.0,122.0
806,donc0120,raob0270,3,213.0,107.0
807,dplb0149,magd1571,2,130.0,283.0
809,PP10001,GL290,5,16.0,297.0
810,JLG40,KK101,6,131.0,0.0
811,JLG40,NJW1004,4,131.0,319.0
812,clab0101,ARG1000,3,95.0,91.0
813,clab0035,ARG1000,3,32.0,91.0
814,immd0024,ARG1000,3,68.0,91.0
815,clme1037,clme0497,8,111.0,41.0
816,clme1037,clab0127,2,111.0,244.0
817,clme1037,clme1358,6,111.0,157.0
818,clme0497,clab0127,4,41.0,244.0
819,clab0127,clme1358,2,244.0,157.0
820,molb0002,immd0023,5,52.0,201.0
821,gree1024,gree0989,4,200.0,75.0
822,clne0083,clme0220,3,245.0,38.0
823,stat0059,stat0004,6,50.0,49.0
824,GIE20,cm666,2,144.0,671.0
825,EP370,BDS10,2,246.0,203.0
826,stat0004,clne0009,6,49.0,150.0
827,ARV22,CFK23,5,99.0,301.0
828,ARG1000,EL422,2,91.0,673.0
829,DGK23,EL422,2,204.0,673.0
830,clme0220,clme0670,10,38.0,62.0
831,stat0004,KK101,6,49.0,0.0
832,stat0004,NJW1004,6,49.0,319.0
833,raob0072,clme0667,2,26.0,106.0
834,clme0220,chri0963,3,38.0,30.0
835,clme0220,phys0101,2,38.0,33.0
836,bioc0212,card0018,9,247.0,24.0
837,PP10001,JDB1003,17,16.0,103.0
838,chem0068,bioc0416,4,162.0,134.0
839,chem0068,bioc0541,2,162.0,135.0
840,clme0485,ndos0168,3,248.0,136.0
841,clme0670,engs0357,3,62.0,221.0
842,immd0237,whgu0085,2,2.0,189.0
843,whgu0256,clme0240,2,67.0,3.0
844,whgu0256,whgu0085,2,67.0,189.0
845,clme0240,whgu0085,2,3.0,189.0
846,raob0270,raob0231,4,107.0,330.0
847,clne0102,clne0024,2,142.0,140.0
848,raob0072,raob0270,6,26.0,107.0
849,raob0072,donc0120,9,26.0,213.0
850,CC234,JC553,7,13.0,288.0
851,SC10021,JC553,8,168.0,288.0
852,whgu0172,univ1923,3,1.0,98.0
853,clme0220,univ1923,1,38.0,98.0
854,KSL23,DS139,4,249.0,205.0
855,TLB20,ERM1000,2,173.0,329.0
856,clme0975,raob0122,1,31.0,225.0
857,raob0122,raob0072,1,225.0,26.0
858,GM290,DIJ21,2,146.0,112.0
859,GM290,FR269,2,146.0,215.0
860,fjg28,mjg40,4,250.0,190.0
861,clme1358,cschof,6,157.0,18.0
862,immd0330,immd0237,2,167.0,2.0
863,immd0330,immd0036,2,167.0,217.0
864,immd0330,path0089,2,167.0,113.0
865,immd0330,stat0004,2,167.0,49.0
866,immd0330,immd0198,2,167.0,251.0
867,immd0330,clme0240,2,167.0,3.0
868,immd0330,whgu0378,2,167.0,4.0
869,immd0330,immd0024,3,167.0,68.0
870,immd0330,quee1607,2,167.0,78.0
871,immd0330,lina0435,2,167.0,166.0
872,immd0330,card0027,2,167.0,117.0
873,immd0330,clme0301,2,167.0,180.0
874,immd0330,stat0054,2,167.0,252.0
875,immd0330,path0084,2,167.0,238.0
876,immd0330,immd0082,2,167.0,59.0
877,immd0237,immd0036,2,2.0,217.0
878,immd0237,path0089,2,2.0,113.0
879,immd0237,stat0004,4,2.0,49.0
880,immd0237,immd0198,2,2.0,251.0
881,immd0237,immd0024,2,2.0,68.0
882,immd0237,quee1607,2,2.0,78.0
883,immd0237,lina0435,4,2.0,166.0
884,immd0237,card0027,2,2.0,117.0
885,immd0237,clme0301,2,2.0,180.0
886,immd0237,path0084,2,2.0,238.0
887,immd0036,path0089,2,217.0,113.0
888,immd0036,stat0004,2,217.0,49.0
889,immd0036,immd0198,2,217.0,251.0
890,immd0036,clme0240,2,217.0,3.0
891,immd0036,whgu0378,2,217.0,4.0
892,immd0036,immd0024,2,217.0,68.0
893,immd0036,clme0237,2,217.0,77.0
894,immd0036,quee1607,2,217.0,78.0
895,immd0036,lina0435,2,217.0,166.0
896,immd0036,card0027,2,217.0,117.0
897,immd0036,clme0301,2,217.0,180.0
898,immd0036,stat0054,2,217.0,252.0
899,immd0036,path0084,2,217.0,238.0
900,immd0036,immd0082,4,217.0,59.0
901,path0089,stat0004,2,113.0,49.0
902,path0089,immd0198,2,113.0,251.0
903,path0089,clme0240,2,113.0,3.0
904,path0089,whgu0378,2,113.0,4.0
905,path0089,immd0024,2,113.0,68.0
906,path0089,clme0237,2,113.0,77.0
907,path0089,quee1607,2,113.0,78.0
908,path0089,lina0435,2,113.0,166.0
909,path0089,card0027,2,113.0,117.0
910,path0089,clme0301,2,113.0,180.0
911,path0089,stat0054,2,113.0,252.0
912,path0089,immd0082,2,113.0,59.0
913,stat0004,immd0198,2,49.0,251.0
914,stat0004,clme0240,2,49.0,3.0
915,stat0004,immd0024,2,49.0,68.0
916,stat0004,quee1607,2,49.0,78.0
917,stat0004,clme0301,2,49.0,180.0
918,stat0004,path0084,2,49.0,238.0
919,stat0004,immd0082,2,49.0,59.0
920,immd0198,clme0240,2,251.0,3.0
921,immd0198,whgu0378,2,251.0,4.0
922,immd0198,immd0024,2,251.0,68.0
923,immd0198,clme0237,2,251.0,77.0
924,immd0198,quee1607,2,251.0,78.0
925,immd0198,lina0435,2,251.0,166.0
926,immd0198,card0027,2,251.0,117.0
927,immd0198,clme0301,2,251.0,180.0
928,immd0198,stat0054,2,251.0,252.0
929,immd0198,path0084,2,251.0,238.0
930,immd0198,immd0082,2,251.0,59.0
931,clme0240,immd0024,2,3.0,68.0
932,clme0240,clme0237,2,3.0,77.0
933,clme0240,quee1607,2,3.0,78.0
934,clme0240,lina0435,2,3.0,166.0
935,clme0240,card0027,2,3.0,117.0
936,clme0240,clme0301,2,3.0,180.0
937,clme0240,stat0054,2,3.0,252.0
938,clme0240,path0084,2,3.0,238.0
939,clme0240,immd0082,3,3.0,59.0
940,whgu0378,immd0024,2,4.0,68.0
941,whgu0378,lina0435,4,4.0,166.0
942,whgu0378,card0027,4,4.0,117.0
943,whgu0378,clme0301,2,4.0,180.0
944,whgu0378,path0084,2,4.0,238.0
945,immd0024,clme0237,2,68.0,77.0
946,immd0024,quee1607,2,68.0,78.0
947,immd0024,lina0435,2,68.0,166.0
948,immd0024,card0027,2,68.0,117.0
949,immd0024,clme0301,2,68.0,180.0
950,immd0024,stat0054,2,68.0,252.0
951,immd0024,path0084,2,68.0,238.0
952,immd0024,immd0082,2,68.0,59.0
953,clme0237,lina0435,4,77.0,166.0
954,clme0237,card0027,2,77.0,117.0
955,clme0237,clme0301,2,77.0,180.0
956,clme0237,path0084,2,77.0,238.0
957,clme0237,immd0082,2,77.0,59.0
958,quee1607,lina0435,2,78.0,166.0
959,quee1607,card0027,2,78.0,117.0
960,quee1607,clme0301,2,78.0,180.0
961,quee1607,path0084,2,78.0,238.0
962,quee1607,immd0082,2,78.0,59.0
963,lina0435,card0027,2,166.0,117.0
964,lina0435,clme0301,3,166.0,180.0
965,lina0435,stat0054,2,166.0,252.0
